sample_barcode,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32
TCGA-BK-A0C9-01A-11R-A00V-07,0.0,1.502494,0.0,12.21706,0.89965856,0.0,1.6125864,0.0,0.0,1.132531,4.1864095,10.283637,0.0,1.5881436,3.4911413,2.2811484,0.0,3.2203217,0.09127586,6.9578295,1.4474744,0.0,0.0,3.985901,2.3211608,2.2192984,0.0,7.463636,3.3566508,0.0,0.0,1.5297534
TCGA-FI-A2CY-01A-11R-A17B-07,10.759478,0.0,0.0,0.0,4.938124,0.0,9.492653,0.0,9.019948,6.2825446,4.0577607,0.0,8.075683,0.0,0.0,2.6912024,0.0,0.0,1.2950971,0.35601556,0.0,1.3280549,7.323506,0.0,5.6695495,0.0,0.0,0.0,5.8980756,1.814793,0.0,0.0
TCGA-B5-A0K4-01A-11R-A040-07,0.0,2.2752988,0.0,10.291927,0.0,4.8213835,5.0721188,0.0,0.0,4.896414,2.796021,8.69582,0.0,0.0,14.258714,1.9704494,0.0,9.193123,3.2866838,1.5016829,1.7402921,0.0,0.0,4.5384316,7.3517413,0.0,1.7039003,0.0,8.621148,0.0,0.0,0.18031779
TCGA-E6-A1LX-01A-11R-A14D-07,0.0,3.181244,0.0,1.5974404,2.148311,0.0,3.303363,0.0,0.0,0.0,0.10761852,5.867665,0.0,0.0,0.0,0.0,0.0,1.7155297,0.55798316,4.3853006,0.0,1.1736943,0.27856696,0.8723821,0.15466854,8.883877,0.0,0.0,0.0,0.0,3.8239326,3.4259434
TCGA-D1-A17U-01A-21R-A12I-07,0.0,5.8244605,1.6024505,5.0610733,4.572288,0.0,0.1359084,0.0,0.24186227,0.0,2.9673917,5.6023,2.000914,2.1564288,0.0,0.18850853,0.0,0.0,0.0,2.3027606,0.0,0.0,0.0,3.3120313,2.1448064,6.0493884,0.0,6.8775015,0.64475733,0.46892866,0.9870228,6.781902
TCGA-B5-A11S-01A-11R-A118-07,0.0,4.02293,0.0,3.5884745,2.470233,0.0,0.0,2.365442,0.0,3.3892627,4.1658635,4.826093,0.0,0.0,6.529477,0.0,5.9317274,2.5618575,0.0,9.440239,0.0,1.6340222,0.0,1.8756989,0.0,0.0,0.21782568,3.635303,0.0,0.0,9.26708,4.8710194
TCGA-B5-A0K0-01A-11R-A16W-07,0.0,8.943366,6.540306,1.846807,0.0,2.695778,0.0,5.8389587,4.863037,3.5009322,0.0,0.0,6.456168,0.0,0.0,0.0,5.4567127,0.0,0.0,0.0,3.0191412,0.0,3.573537,6.2294035,0.038860053,4.599299,0.3415723,0.0,0.0,8.759998,8.945166,0.0
TCGA-EY-A549-01A-11R-A27V-07,0.0,9.731565,0.0,7.9689302,2.1064076,0.0,0.0,5.558503,0.0,1.4878913,2.776147,0.0,0.0,2.064367,6.964355,0.0,0.6102502,0.0,0.0,6.4966354,4.923223,0.0,0.0,1.3386232,5.31125,4.827045,0.0,9.810795,0.0,0.0,4.101674,0.0
TCGA-AX-A1CN-01A-11R-A137-07,0.0,6.545613,12.956505,0.0,0.0,0.0,6.42659,0.0,7.218564,0.08223419,0.0,0.0,6.7370343,0.0,0.68796074,0.0,0.0,0.0,1.2141963,0.0,0.13158193,0.0,6.0230412,5.1764007,9.450666,8.696528,0.0,0.0,0.0,1.941626,9.157888,1.0393482
TCGA-D1-A16B-01A-11R-A12I-07,0.0,6.011345,6.1945643,3.5874932,0.0,0.0,0.0,4.5602236,4.826275,5.1500926,2.3945901,0.0,4.9402113,0.0,0.0,0.0,3.0178156,0.0,0.0,0.0,0.0,0.0,0.0,5.0999284,2.383072,0.0,0.0,5.803905,0.0,6.3785524,4.9453697,1.4739854
TCGA-FI-A2EW-01A-11R-A17B-07,3.1770744,0.0,0.0,0.0,6.6817346,2.8215013,0.0,8.166622,2.002122,1.564472,0.0,0.0,0.0,1.2453233,2.4596283,3.6718469,0.0,3.8148205,0.0,0.466767,0.98859996,13.305816,0.70364106,0.0,0.0,0.0,3.853654,0.0,5.9632344,0.05098564,0.0,0.0
TCGA-D1-A17M-01A-21R-A12I-07,0.0,12.343254,2.2491224,2.8750591,1.6435832,5.026266,0.93121755,0.25018907,4.164176,0.99601126,4.2247663,4.875491,3.9328446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.537759,1.1442733,3.2466302,0.0,0.0,0.0,1.7476223,0.8981633,3.0724647
TCGA-B5-A0K3-01A-11R-A040-07,7.995694,0.0,0.0,5.714661,7.718539,0.0,4.1670256,0.0,6.718866,3.2187545,3.375619,4.578841,0.0,0.0,0.0,2.9969702,0.0,3.910968,2.4290907,0.0,0.0,0.0,0.38466153,0.0,3.1641288,0.0,0.0,2.234166,10.748842,2.5397909,0.0,1.910441
TCGA-BG-A0M3-01A-11R-A104-07,0.76925635,6.598267,0.0,0.94862837,7.184551,0.9559984,0.0,7.591004,4.76746,0.0,4.210372,5.300676,0.0,0.0,1.889587,0.0,0.0,5.3662047,0.54967463,3.865742,0.0,3.363277,0.0,0.24540685,3.1563258,5.9223943,0.0,0.0,0.0,0.0,6.345998,2.5390127
TCGA-BG-A0MQ-01A-11R-A104-07,1.7394601,10.248883,0.0,8.602666,5.0318894,6.224613,0.0,2.099949,0.0,0.0,0.0,3.7985892,0.0,4.531003,7.6655655,0.0,2.5773253,1.587255,0.0,8.700291,0.0,3.4369042,0.0,0.0,0.0,10.317578,5.365207,0.0,0.3055952,0.0,0.0,1.2518778
TCGA-A5-A0VP-01A-21R-A104-07,0.0,3.0548246,0.0,0.0,3.9662578,0.0,0.0,2.1500127,4.567833,8.4828205,7.8306594,5.338409,0.57661986,0.0,8.41465,0.0,0.0,1.5793091,0.0,0.47143632,0.0,0.0,0.0,4.1094866,8.858883,0.0,0.0,2.4147468,0.17579404,0.0,4.961794,10.548785
TCGA-AJ-A3BD-01A-11R-A19W-07,6.6189976,0.0,0.0,2.678867,2.7624326,1.8570112,0.0,3.7268689,0.001810059,0.44364423,2.3546906,0.0,0.0,4.5788527,0.79424274,6.8343954,1.8607823,0.0,0.4701982,2.7818522,6.6751356,2.9464712,0.0,0.0,0.0,0.041147463,0.0,0.2348513,1.8521352,0.0,0.0,0.0
TCGA-B5-A11P-01B-11R-A14D-07,8.4287615,8.420521,1.8110186,11.432382,5.030224,1.5331274,0.0,6.4820333,9.380326,5.065025,6.3442597,3.1620646,0.0,0.0,9.324306,0.0,3.5020976,6.3380847,0.0809577,0.0,0.0,0.0,0.0,0.0,7.532333,0.0,0.0,6.943068,0.10190577,0.0,5.4803543,4.2214665
TCGA-D1-A1O8-01A-11R-A14D-07,0.0,1.924748,12.361111,1.336803,0.0,0.0,9.599096,0.0,0.0,9.710227,0.25839332,0.3936893,8.01283,3.6765246,0.0,0.13084407,0.0,0.0,0.0,0.0,6.5245905,0.0,3.9703481,11.496953,7.278834,1.5876937,0.0,0.22486246,0.6164103,8.20167,2.4400237,0.0
TCGA-D1-A16R-01A-11R-A12I-07,0.0,7.90053,2.0656407,5.927282,0.0,2.0048676,0.8628435,3.0512846,1.0177023,3.1305077,2.23469,5.3683605,0.0,0.0,0.0,0.0,3.61977,0.44146374,0.0,0.0,0.0,0.0,0.0,8.179798,0.5853596,2.0110812,0.0,0.25277868,0.0,3.1385577,6.514159,0.87587476
