,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32,recon_err,y
TCGA-AP-A0LI-01A-11R-A040-07,-1.6147224,-3.6675131,-3.0614002,-3.6598485,2.0930116,6.260154,-2.347808,4.593495,1.6261165,0.46483797,2.2683077,2.2995813,4.103231,-2.7347858,-1.2035794,3.525126,-2.4731417,0.58803624,-2.2454891,-3.6139717,2.0514045,-2.865594,-4.9783936,5.0675774,1.1379687,-0.18879005,2.9707463,1.0730811,1.4085978,0.7363125,2.1560457,-1.0218397,16.755182,0.0
TCGA-BG-A0VZ-01A-11R-A109-07,0.52770334,0.340722,-0.27824733,-1.9678111,-0.053150658,1.8277855,-0.93817174,-2.0254493,0.66134346,-0.91797626,-0.38081035,-0.35532704,0.85932904,1.2038479,0.16775875,1.4395336,0.9448876,1.4026558,-0.9737735,0.265413,-0.7863786,0.46879905,0.079631254,0.7718189,-2.2409189,-0.7196651,0.8064209,-1.344875,1.4959049,0.99779546,0.1324472,0.22071497,22.349678,
TCGA-B5-A1MU-01A-11R-A13S-07,1.5301241,1.9747152,0.78163314,-2.0386899,1.7376809,2.5352433,0.996997,0.022110045,-0.75157017,-4.226524,0.19730556,2.470485,-0.78504616,-0.5623379,0.2908121,2.7457318,1.9305693,-1.6008433,-2.358005,-1.9980307,1.6665937,-4.535023,0.0071493248,-0.057107307,1.5715042,0.3054585,0.14918132,1.0867501,0.010517983,-0.28852263,2.1052177,1.9217246,16.245476,1.0
TCGA-D1-A15V-01A-11R-A118-07,0.60252964,-0.56733143,0.7288657,-1.9977007,2.0932004,3.322282,-0.43343258,-2.6844168,0.30808458,-0.9220762,2.7523928,3.327612,2.2128348,-2.4722388,-2.0008225,0.093185775,-1.8316679,0.25799415,-3.8478403,0.022321707,3.5551803,-4.2849846,0.8938143,-0.81934416,-1.5465578,-1.2003968,1.1323738,0.9905657,-0.28193972,0.35543022,-1.7788805,-0.03501002,10.76912,0.0
TCGA-AX-A1CI-01A-11R-A137-07,-3.2010558,-3.697588,-3.9565744,1.9706426,0.917104,-1.0753261,3.4552338,-2.3444943,-0.27365705,1.77498,-1.6803485,0.99701345,0.65362,1.7093669,0.39350784,-3.3762357,-0.5392403,4.4539704,2.0054252,-2.3422015,-0.5593689,-1.7005082,-1.4558663,-2.016501,-0.71963245,-4.727198,1.9189571,-1.3173773,0.5532574,-1.311216,1.3608922,-0.57402706,12.626847,0.0
TCGA-B5-A11M-01A-11R-A118-07,-1.7010982,0.20658115,-1.8693136,-0.08748278,-1.6474819,-0.22757371,-2.017774,-0.28889585,-1.4265805,-3.855443,-2.8729672,2.0864522,-0.032243762,2.1945565,-2.1435778,2.50627,1.2517048,-0.47342265,-0.066428125,0.23070864,1.0921159,-0.28092653,0.9319605,-3.2723885,-2.2107341,0.76899225,4.043726,-2.2220154,0.0911356,4.1695185,-0.25727573,1.8688217,7.4726257,0.0
TCGA-EC-A1QX-01A-31R-A16F-07,0.07030988,0.5426605,-2.0919635,-0.905733,1.1046071,3.285239,0.25817555,-2.0660417,-0.35649207,-0.94483995,2.3147469,1.660703,2.4086163,-0.46022597,-0.8746979,0.07724244,0.22059001,-1.0780368,-1.4582174,-3.0720422,-0.944689,-0.9363606,-0.23516886,1.3642154,0.2090069,-3.0396817,2.0228374,2.422378,-1.4692271,1.1215956,1.3455106,-1.3959913,4.895599,1.0
TCGA-BG-A18A-01A-21R-A12I-07,-3.9815273,-6.0134,-1.1381539,-1.7659452,-2.5500524,4.519717,-4.507674,-0.64005494,-0.8261371,-4.382465,-1.5914352,4.8234277,0.73630583,0.7317933,-2.4324791,0.95331717,2.4032464,-0.06630258,1.1439455,-2.8928878,1.8534366,-2.0869966,-1.5137368,0.92148685,-2.1617649,1.4404126,3.6446593,1.2974868,-0.5587902,2.8009555,1.2850537,0.30492914,4.244001,0.0
TCGA-BG-A0MA-01A-11R-A17B-07,-0.44494712,-0.15405965,-0.4824513,-1.4065568,-0.40867317,-0.6446559,-0.85467076,0.08504528,-0.3630962,-0.11726992,-1.5242432,0.65780044,0.2642439,0.33070892,1.0818558,0.38764563,1.7445397,1.1992381,-0.76527834,0.6609704,-0.5399754,-1.0152516,-0.2909662,-1.1962663,-0.4522434,-0.64440125,2.3577871,-1.2360213,0.23130971,0.0513943,-1.3907158,0.32749242,5.368042,1.0
TCGA-EY-A1GW-01A-22R-A13S-07,-1.9602953,-5.7609234,-2.8917515,0.84530425,1.5622414,3.2791061,0.2390329,-1.3801444,0.094624266,1.707693,-3.7359047,-1.6366469,0.07964018,3.4644787,0.53478795,0.42977563,-3.88833,3.392981,0.40078464,-3.7819903,0.23099068,0.11950138,-4.82557,-1.0669088,-6.269626,-4.9590564,1.0934896,2.183977,1.972048,1.1330276,-2.0267482,1.6475614,19.288054,1.0
TCGA-PG-A914-01A-11R-A37O-07,0.78312004,-0.78507155,1.1764127,-1.8538637,1.1017536,1.4291322,1.5145103,-1.9808929,0.19846083,0.63520104,1.7498639,3.369798,0.9798398,0.78516364,-0.38557047,6.103539,-2.5886204,2.3838973,-1.1583316,-3.1573107,4.4041934,-0.2952354,-0.8759583,-0.99827564,-0.56389064,-2.5186222,-1.2789898,-2.504996,4.4910393,1.3397447,-1.8545111,1.2389792,38.756393,
TCGA-BS-A0UJ-01A-12R-A104-07,-2.581049,-6.397253,-5.171563,-0.084067844,-0.22539666,-1.2742901,-1.9463433,0.39773738,0.3857518,-0.10202324,0.9046146,2.6056297,1.0025148,0.44225916,2.6477,-0.6655665,0.8352379,3.8564734,1.1070303,-2.190429,-1.4839816,0.9693877,-3.1547706,1.1920187,0.73260045,-3.1406624,-0.51620644,-0.18582605,1.6004212,-0.9768424,2.7802982,-0.8332442,13.929321,0.0
TCGA-BS-A0U8-01A-11R-A104-07,-0.72913563,-1.2417618,-2.1051326,2.137549,-2.6919868,0.629199,0.52181447,-0.12229544,-0.45796272,0.25464067,0.36516488,-1.1284666,1.2770165,0.38400194,0.4177178,0.07698509,-0.7370692,3.0240188,-0.96479905,-0.4297345,-1.8237004,-0.82214296,-0.1504009,-1.7472466,0.23633814,-1.1426966,1.1326485,-2.111465,-0.89779794,-0.62092614,0.02395766,-1.8154814,6.4961634,0.0
TCGA-B5-A1MY-01A-11R-A144-07,5.190416,-1.2195774,0.71860653,-3.008894,0.5548468,0.3283753,-1.2067894,-3.5016668,-3.6319487,-5.94989,-6.558377,1.3002524,0.8749051,6.003735,-4.2694054,5.4062943,-0.11443321,2.9892654,-2.5476327,-2.6368203,6.9631515,-3.105153,0.15499528,1.8628927,6.060401,-4.036632,4.0423093,-2.9354687,-0.107333206,7.103516,0.98708403,4.865309,15.488181,1.0
TCGA-AJ-A23N-01A-11R-A22K-07,-0.13525186,1.1532319,0.5883611,-1.2943741,0.54876393,2.2662795,2.4669135,-1.7768688,0.3476049,-4.312794,3.319928,2.646218,-0.5087645,0.8171439,0.01034188,4.1178217,-0.5605082,-0.09141715,-1.9724288,-1.1389698,4.6434793,-2.9286923,-1.9092685,-2.8800411,0.69668806,0.0077579548,-0.4814387,0.7472897,0.7099919,1.0567393,-0.40047872,1.050837,23.854475,
TCGA-AP-A0LV-01A-11R-A040-07,-0.13331428,-1.6995739,0.025142359,-0.26372972,-0.5893379,0.24062556,-0.788617,1.5584171,-0.097741395,-1.3141357,-1.0707266,1.0075649,2.398202,-0.85753065,0.25870296,-0.31111655,2.1505976,1.4048843,-0.1843237,1.1968657,0.8227626,-1.1545846,-2.1864018,-0.9485413,0.3008849,-0.074810304,1.2772746,0.15844461,-0.17179021,0.44392347,-1.7663149,1.8463045,5.184821,0.0
TCGA-EO-A1Y5-01A-11R-A157-07,3.4781141,0.071988225,2.5354695,0.34773812,3.020932,6.0437555,0.9015511,2.2794383,4.0759583,-1.6894004,-0.8898308,3.028429,2.6960824,-0.6039148,-1.2254844,4.739348,4.8130665,1.1003772,-3.8603103,-0.5564702,2.7990472,-1.7118136,-5.635253,2.6796002,0.14378281,-2.2989023,-0.36260933,-1.0288074,2.0725458,1.6883842,0.28996417,0.5724093,16.397882,0.0
TCGA-BS-A0U9-01B-21R-A10J-07,2.273603,0.07262528,1.4658593,-4.343345,5.279642,2.8297184,0.38191542,-1.6804107,-2.1014855,0.6715894,-3.1183026,6.6959066,-1.2806222,-3.1073468,-5.3551564,10.911676,0.13822402,7.2934103,0.19635452,0.12294816,-0.017080152,-4.5278726,-1.9976077,1.4952601,-0.99548686,-5.2071505,2.8519495,-0.14394948,5.397028,3.198428,-4.719129,2.9563487,18.8934,0.0
TCGA-FI-A2F8-01A-12R-A17B-07,1.0397074,-0.10613382,-1.5361843,-0.4399213,2.4841235,1.4216511,-0.025241377,-0.63132876,1.7328134,-0.008915512,1.3376801,0.9768926,-1.2067789,0.5657126,-0.7670573,3.4725938,0.19072194,2.399272,-0.8854207,-2.4295933,0.88319844,-4.364608,-1.3421851,1.1424903,-0.75375414,-2.8379033,1.9636271,1.7249411,0.77486557,1.8519865,-0.37148887,2.0503666,6.1309357,0.0
TCGA-BG-A0VV-01A-21R-A118-07,-1.088276,-1.909783,0.15848559,1.1521771,0.09424808,0.3805748,-2.0306668,-0.47256535,0.37321725,-0.74541825,-1.6930383,-0.17067748,0.12900199,0.17099924,-2.7011878,-0.20643729,0.7697556,0.44209567,-0.596369,0.99744606,2.8588672,0.39920837,-2.735548,-0.105699085,-2.2288458,-0.6902124,0.6206604,0.031790346,-1.1706649,2.2829432,1.3311609,-1.0690569,4.697607,0.0
TCGA-BG-A18B-01A-11R-A12I-07,-0.5998353,-1.4518124,0.66400295,0.35711116,-0.645415,0.406497,-1.3404006,-1.2438174,-0.1014889,-0.063303955,-1.0790199,-0.48981306,0.43600082,-0.20792688,-0.7349606,0.12201068,-1.5683472,1.3568497,-1.8618457,0.19492832,-0.85246575,1.2748771,-0.6530776,-1.5348561,-2.8166678,0.0731586,1.4593103,-0.915679,1.1411618,0.6336662,-0.35964522,-1.505052,5.5931354,0.0
TCGA-AX-A064-01A-11R-A00V-07,-0.21885757,-1.0124446,-4.6332364,1.4145288,-0.5392178,2.1479707,1.5965555,-4.3767595,-0.56335956,2.2014134,1.05284,0.8392371,0.5516877,1.1467274,-1.2719569,-0.75011307,0.08714678,2.6347399,-0.71217644,-2.2684376,-1.4494207,-2.4110363,-1.3554791,-1.3481597,-0.1760817,-5.428821,1.232681,-1.9618628,-3.3421183,1.1818231,3.3294053,-2.3360906,15.4632,0.0
TCGA-DI-A1C3-01A-41R-A137-07,-3.427404,-2.7982662,-4.9435906,0.19007374,-1.0613098,-1.5608783,0.84033525,2.7176054,-2.9029083,-0.9429258,-0.12403961,0.7497054,2.588771,3.607046,0.36607566,1.8524082,2.8558147,2.2900243,-0.14775936,1.5846701,0.14073044,-0.22976705,-2.3253067,-1.1398268,0.87002337,-0.4018707,1.1307367,-1.509011,1.5697591,0.62101233,0.10657168,1.7781755,13.371517,
TCGA-AJ-A3BF-01A-11R-A213-07,1.4182523,-2.890969,0.5500841,-0.5503642,-1.7560139,0.70157456,-0.39720842,-3.144871,-0.46814784,-1.4944475,0.8415745,2.1326714,1.0076982,-1.4624342,-1.4434348,5.019154,-0.5912293,0.8253058,-3.0203137,-1.8674307,6.1452208,-3.5823557,-0.5975634,-2.0208678,2.2915902,-0.28748918,-0.87844795,-2.0916595,1.3957022,1.0577186,-2.6526449,0.3947812,37.44328,
TCGA-AX-A1C7-01A-11R-A137-07,-3.0849538,-11.474025,3.3164601,3.6720235,1.2579478,4.708163,-6.4193077,4.1717196,0.18289752,3.2940018,-2.5267015,2.9052632,2.797641,3.820278,5.13776,4.114968,2.7118077,6.5654054,-7.2558875,0.51706237,10.664691,-1.3478551,-6.683095,3.5976782,2.945235,-4.2674785,-4.2202897,-2.3786442,1.5201993,-5.2215986,-4.6248655,-0.8591211,13.262749,1.0
TCGA-B5-A11W-01A-12R-A118-07,-1.7955185,-1.4363289,-0.6275155,0.54967856,-1.7762246,0.38659486,-2.5997465,-1.5607711,-1.9628272,-0.08732217,0.26325905,-1.0439612,1.0827516,2.353914,-2.2829988,1.410763,0.027907988,2.3449829,-1.9977357,0.051247068,-0.058213286,0.23168263,-1.2781024,-0.3820431,-2.8996003,0.13750589,2.1274486,-1.4721324,-1.3841312,2.32062,0.32534626,0.6267865,13.087713,0.0
