gene,pvalue
RPS3P6,0.0005364541899866905
PDIA3,0.0005553820265677897
RPL13AP5,0.0005553820265677897
SALL2,0.0005553820265677897
MRPL23,0.0005553820265677897
CHD7,0.0005749304162034575
SPTLC3,0.0005749304162034575
CDKN2B,0.0005749304162034575
ERV3-1,0.0005749304162034575
C1orf112,0.0005951179413034845
CTSW,0.0005951179413034845
AHDC1,0.0006159636784113532
TRIM46,0.0006374872092600311
PTPN6,0.0006374872092600311
FCF1,0.0006374872092600311
SRPX,0.0006374872092600311
UBQLN4P1,0.0006435461453724194
FBXW8,0.0006597086320089474
ZHX3,0.0006597086320089474
LINC01116,0.0006597086320089474
AC026471.1,0.000682648572663054
CDC123,0.000682648572663054
GMFG,0.000682648572663054
CA3,0.000682648572663054
RASAL1,0.0007063281966748756
NAV1,0.0007063281966748756
PPP3R1,0.0007063281966748756
TNFRSF4,0.0007063281966748756
GPN1,0.0007063281966748756
WDR3,0.000730769220730256
FAM53C,0.000730769220730256
SLC16A1,0.000730769220730256
RASAL3,0.000730769220730256
AC090061.1,0.000742786790868887
MAPK14,0.0007559939247185689
LGI2,0.0007559939247185689
AC104447.1,0.0007559939247185689
SNRNP35,0.0007559939247185689
TAF5LP1,0.0007809910314619496
AL663070.1,0.0007819734351173555
ARMH1,0.0007820251638879791
NAMPT,0.0007820251638879791
SMARCC1,0.0007820251638879791
AL591846.1,0.0008088331538803803
DKC1,0.0008088863811863243
LYRM4-AS1,0.0008088863811863243
TMEM182,0.0008088863811863243
UBE2FP3,0.0008363825781961821
TRBC1,0.0008366016197880934
NIPSNAP1,0.0008366016197880934
IDNK,0.0008366016197880934
CLECL1,0.0008632251196799467
GALNT2,0.0008651955358078773
POLR1A,0.0008651955358078773
DNAJC12,0.0008651955358078773
AGPAT1,0.0008651955358078773
MOCS3,0.0008651955358078773
TREH,0.0008941139715969763
RCSD1,0.0008946934112005827
LENG1,0.0008946934112005827
TNFRSF18,0.0008946934112005827
KCNQ3,0.0009251211668486565
OAT,0.0009251211668486565
RNF144A,0.0009251211668486565
SPRED2,0.0009565053758363929
AC145343.1,0.0009565053758363929
SLC39A14,0.0009888732769113649
GEMIN5,0.0009888732769113649
ZAP70,0.0009888732769113649
GPR18,0.0010221879555343087
RNF44,0.001022252788132912
TGOLN2,0.001022252788132912
SERF2,0.001022252788132912
NUP205,0.001022252788132912
ZNF688,0.0010566725207075021
DRICH1,0.001074214013582918
UST,0.001092161793010638
ARHGEF1,0.001092161793010638
CCL5,0.001092161793010638
MFNG,0.001092161793010638
CXorf56,0.001092161793010638
LINC01011,0.001092161793010638
IL18RAP,0.001092161793010638
KU-MEL-3,0.001108363300265037
TRPM4,0.0011287506447950012
ETV3,0.0011287506447950012
TMEM41A,0.0011287506447950012
PRKDC,0.0011287506447950012
C15orf65,0.0011287506447950012
CDC42EP4,0.0011287506447950012
PSTPIP1,0.0011287506447950012
AC008105.3,0.001166469851584252
PPP1R15B,0.001166469851584252
MPP6,0.001166469851584252
SLC25A23,0.001166469851584252
AC093928.1,0.0012011876419765785
METAP2,0.0012053509392518913
RCL1,0.0012053509392518913
AC008610.1,0.0012053509392518913
CTLA4,0.0012053509392518913
UGGT1,0.0012053509392518913
FITM2,0.0012053509392518913
GATAD2B,0.0012053509392518913
PELI1,0.0012053509392518913
AL356535.1,0.0012451202607568412
PCYOX1,0.0012867287012283475
ARHGAP25,0.0012867287012283475
HCG14,0.00130632520731299
LINC00861,0.0013070541211365554
AC004585.1,0.0013276776975218762
ZNF295-AS1,0.0013292923128186691
SLC25A44,0.0013292923128186691
PRMT6,0.0013292923128186691
MIR31HG,0.0013685101982041936
CACUL1,0.001373151710290136
NUDT16P1,0.001373151710290136
SNHG16,0.001373151710290136
ALDH1B1,0.0014183423963675871
ASPH,0.0014183423963675871
DNAJC17,0.0014183423963675871
MYORG,0.0014183423963675871
CASK,0.0014183423963675871
RNF41,0.0014183423963675871
DRAM1,0.0014183423963675871
AC008035.1,0.0014183423963675871
AC026202.2,0.0014618382043571983
CARS2,0.0014649007154355258
THAP3,0.0014649007154355258
EDF1,0.0014649007154355258
UBQLN4,0.0014649007154355258
MYO1D,0.0014649007154355258
TCAF1P1,0.0014741089166407663
LIN28B,0.0014750417044542348
CPM,0.0015128638693848576
THEM6,0.0015128638693848576
LRRC36,0.0015128638693848576
MCCC1,0.0015622699336352427
DGKZP1,0.0015622699336352427
SDHC,0.0015622699336352427
DHCR24,0.0015622699336352427
WWC2-AS2,0.0015622699336352427
SRPK1,0.0015622699336352427
AC015912.3,0.0015622699336352427
NQO2,0.0015622699336352427
CERS6,0.0015622699336352427
LINC01719,0.0015622699336352427
CALU,0.0015622699336352427
FZD7,0.0015622699336352427
TRGC1,0.0016078520813836432
SLC16A2,0.001613157873331308
CD79A,0.001613157873331308
AC139887.2,0.001613157873331308
C8orf37-AS1,0.001665470172287832
DENND2B,0.00166556755971072
