gene,variance,mad
RRAD,3.6080060958028937,1.299477767167007
LDLRAD1,3.6004699896508674,1.420677802855233
CFAP45,3.5985537838219477,1.480622321000896
LDOC1,3.5960726764577005,1.0943891163557034
MFAP5,3.5950478008183446,1.3170032522141901
NT5E,3.59479478956625,1.4438953788194775
ALPL,3.5865936900166964,1.4101528963534538
FOSB,3.5862213326443,1.1831597574134536
CXCL13,3.577132030716356,1.2602430839264698
SPATA18,3.5765600416920464,1.3736425239916823
ALDH1A1,3.572751407841312,1.2690208422476283
LINC00645,3.564346583657929,0.7022816289814015
IGF2,3.563662634817642,0.7740833661743407
RXFP1,3.5631256040745365,1.2665815504724243
HLA-DRB5,3.549246773998397,1.328013643052909
HIF3A,3.548948407251796,1.0044761134499323
CEACAM7,3.5470508857432868,0.4672522313695803
NQO1,3.5465876486257315,1.3005240938898464
FZD10,3.537323979437712,1.2902459979484702
IGLV3-10,3.5348450997312026,0.8798631202677875
SLC44A4,3.5332925805829123,1.039406900816779
SIX1,3.5303344072991187,1.5955098428891725
FAT2,3.5298448072541095,1.4941079308268277
HOXB13,3.52952989745112,1.7688329279820252
NXPH4,3.5227309529982174,1.085045575870097
BEX1,3.5203150095143543,1.3650415704787002
CA9,3.519651628940624,1.3897845798498056
ERBB4,3.514079976329753,1.2724833515024736
RBP1,3.5128506505834447,1.210455084092028
CACNG4,3.5111476961989205,1.4509765200246871
PLA2G4A,3.4997672392183294,1.2899449649755947
MT-TY,3.4944163124357903,1.5888388721176492
KIF19,3.4891162179190562,0.9917861673465295
IGHV4-59,3.4854468961775207,1.1248910819470577
GRIN2D,3.484431483183701,1.703418028465257
CNN1,3.48092116678497,1.2118151811824363
MYH7B,3.4804523477641327,0.6287137058594636
ATP1A2,3.477001846993362,0.9136309442918091
ASS1,3.4759981959538435,1.3294257680226869
CHI3L1,3.46703447379462,1.1924124560957106
EPHB3,3.463562122241781,1.332992440012947
TSPAN1,3.462127187312137,1.2172121493661274
SLC14A1,3.461563333495122,1.0255324643839356
RASGRF1,3.4605072566003976,0.9563193468675008
HOXB3,3.452581975156638,0.8845386088932701
MOXD1,3.4520127134089247,1.2481683448989997
IFI44L,3.451918388157424,1.3949874396782524
ANKRD65,3.4516485593787305,1.5592296826361007
ACSL5,3.4490242444500785,1.3062011625745695
RASD1,3.445350207345116,1.305888848074673
LBP,3.4436094283703254,0.3057941234700514
FGF9,3.4429109968957468,1.4616357841649956
CTCFL,3.4415399012793544,0.1279353104281712
CES3,3.4384093002819753,1.564478814787345
ROBO2,3.4367363129148454,1.4553777375370096
PTN,3.435099201095612,1.4010962832192062
CPLX2,3.4330939246269168,0.8941731213464721
COL21A1,3.4312517325214085,1.333248253640296
GPX3,3.4306698210961626,1.2076478348822937
LRRC71,3.4204635439592406,0.9789535888291588
MTND4P12,3.419937679152763,1.4215902932373612
CPAMD8,3.4128008013238835,1.454163968878432
CLDN1,3.4108799325678882,1.3415829302997473
THNSL2,3.4095870584912875,0.9237090708131284
COL23A1,3.40908507221765,1.4226511908552022
CROCC2,3.4079034427723283,1.0206249424245932
NLGN4X,3.4064172705906794,1.4228958103223626
